"COG20_FUNCTION_accession" "COG20_FUNCTION_function." "COG20_CATEGORY_accession" "COG20_CATEGORY_function."
"85" "COG3243" "Poly-beta-hydroxybutyrate synthase (PhaC) (PDB:5XAV)" "I" "Lipid transport and metabolism"
"86" "COG0737" "2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family (UshA) (PDB:1HO5)" "F" "Nucleotide transport and metabolism"
"87" "COG0161" "Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (BioA) (PDB:1MLY)" "H" "Coenzyme transport and metabolism"
"88" "COG5267" "Uncharacterized conserved protein, DUF1800 family" "S" "Function unknown"
"89" "COG4102" "Uncharacterized conserved protein, DUF1501 family" "S" "Function unknown"
"90" "COG1085" "Galactose-1-phosphate uridylyltransferase (GalT) (PDB:1GUP)" "G" "Carbohydrate transport and metabolism"
"91" "COG0153" "Galactokinase (GalK) (PDB:1PIE)" "G" "Carbohydrate transport and metabolism"
"92" "COG0329" "4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase (DapA) (PDB:2R91) (PUBMED:27574185)" "E" "Amino acid transport and metabolism"
"93" "COG1494" "Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein (GlpX) (PDB:1NI9)" "G" "Carbohydrate transport and metabolism"
"94" "COG1133" "Peptide antibiotic transporter SbmA/BacA, ABC-type permease family (SbmA) (PUBMED:24078611)" "V" "Defense mechanisms"
"95" "COG0187" "DNA gyrase/topoisomerase IV, subunit B (GyrB) (PDB:1EI1)" "L" "Replication, recombination and repair"
"96" "COG0532" "Translation initiation factor IF-2, a GTPase (InfB) (PDB:5ME0)" "J" "Translation, ribosomal structure and biogenesis"
"97" "COG0290" "Translation initiation factor IF-3 (InfC) (PDB:2IFE)" "J" "Translation, ribosomal structure and biogenesis"
"98" "COG0291" "Ribosomal protein L35 (RpmI) (PDB:1VS6) (PUBMED:28373563)" "J" "Translation, ribosomal structure and biogenesis"
"99" "COG0292" "Ribosomal protein L20 (RplT) (PDB:1VS6) (PUBMED:30270044)" "J" "Translation, ribosomal structure and biogenesis"
"100" "COG0031" "Cysteine synthase (CysK) (PDB:1FCJ)" "E" "Amino acid transport and metabolism"
"101" "COG0178" "Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F)" "L" "Replication, recombination and repair"
"102" "COG1225" "Peroxiredoxin (Bcp) (PDB:5IPH)" "O" "Posttranslational modification, protein turnover, chaperones"
"103" "COG1349" "DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family (GlpR)" "K" "Transcription"
"104" "COG0569" "Trk/Ktr K+ transport system regulatory component TrkA/KtrA/KtrC, RCK domain (TrkA) (PDB:4XTT) (PUBMED:23815639;25957408;31868587;32095817)" "P" "Inorganic ion transport and metabolism"
"105" "COG1207" "Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase (GlmU) (PDB:3FWW)" "M" "Cell wall/membrane/envelope biogenesis"
"106" "COG0643" "Chemotaxis protein histidine kinase CheA (CheA) (PDB:1B3Q)" "T" "Signal transduction mechanisms"
"107" "COG0366" "Glycosidase/amylase (phosphorylase) (AmyA) (PDB:2P67) (PUBMED:29684280)" "G" "Carbohydrate transport and metabolism"
"108" "COG2199" "GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)" "T" "Signal transduction mechanisms"
"109" "COG0626" "Cystathionine beta-lyase/cystathionine gamma-synthase (MetC) (PDB:1CL1)" "E" "Amino acid transport and metabolism"
"110" "COG0346" "Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family (GloA) (PDB:3R4Q) (PUBMED:11830595)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"111" "COG3451" "Type IV secretory pathway, VirB4 component (VirB4)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"112" "COG1198" "Primosomal protein N' (replication factor Y) - superfamily II helicase (PriA) (PDB:6DCR)" "L" "Replication, recombination and repair"
"113" "COG1061" "Superfamily II DNA or RNA helicase (SSL2) (PDB:6JDE)" "K" "Transcription"
"114" "COG1472" "Periplasmic beta-glucosidase and related glycosidases (BglX) (PDB:2X40)" "G" "Carbohydrate transport and metabolism"
"115" "COG0494" "8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family (MutT) (PDB:4V14)" "V" "Defense mechanisms"
"116" "COG1450" "Type II secretory pathway component GspD/PulD (secretin) (PulD) (PDB:5TCQ)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"117" "COG0272" "NAD-dependent DNA ligase (Lig) (PDB:5TT5)" "L" "Replication, recombination and repair"
"118" "COG0665" "Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)" "E" "Amino acid transport and metabolism"
"119" "COG2133" "Glucose/arabinose dehydrogenase, beta-propeller fold (YliI) (PDB:1C9U)" "G" "Carbohydrate transport and metabolism"
"120" "COG0574" "Phosphoenolpyruvate synthase/pyruvate phosphate dikinase (PpsA) (PDB:5HV6)" "G" "Carbohydrate transport and metabolism"
"121" "COG0135" "Phosphoribosylanthranilate isomerase (TrpF) (PDB:1DL3)" "E" "Amino acid transport and metabolism"
"122" "COG1051" "ADP-ribose pyrophosphatase YjhB, NUDIX family (YjhB) (PDB:3GZ5)" "F" "Nucleotide transport and metabolism"
"123" "COG3258" "Thiosulfate dehydrogenase TsdA, contains C-terminal cytochrome c domain (TsdA) (PUBMED:32457501)" "P" "Inorganic ion transport and metabolism"
"124" "COG2041" "Molybdopterin-dependent catalytic subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases (MsrP) (PDB:1OGP) (PUBMED:26641313;32750406)" "C" "Energy production and conversion"
"125" "COG1566" "Multidrug resistance efflux pump EmrA (EmrA) (PDB:4TKO)" "V" "Defense mechanisms"
"126" "COG0347" "Nitrogen regulatory protein PII (GlnK) (PDB:2GW8) (PUBMED:24610711)" "T" "Signal transduction mechanisms"
"127" "COG0343" "Queuine/archaeosine tRNA-ribosyltransferase (Tgt) (PDB:1XW8) (PUBMED:15805528)" "J" "Translation, ribosomal structure and biogenesis"
"128" "COG0064" "Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (GatB) (PDB:3H0M)" "J" "Translation, ribosomal structure and biogenesis"
"129" "COG2207" "AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)" "K" "Transcription"
"130" "COG0129" "Dihydroxyacid dehydratase/phosphogluconate dehydratase (IlvD) (PDB:2GP4)" "E" "Amino acid transport and metabolism"
"131" "COG0419" "DNA repair exonuclease SbcCD ATPase subunit (SbcC) (PDB:3QKR)" "L" "Replication, recombination and repair"
"132" "COG0270" "DNA-cytosine methylase (Dcm) (PDB:3LX6)" "L" "Replication, recombination and repair"
"133" "COG0357" "16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B) (RsmG) (PDB:1XDZ) (PUBMED:15375115;22031445)" "J" "Translation, ribosomal structure and biogenesis"
"134" "COG0745" "DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)" "T" "Signal transduction mechanisms"
"135" "COG5002" "Sensor histidine kinase WalK (WalK) (PDB:4I5S)" "T" "Signal transduction mechanisms"
"136" "COG0156" "7-keto-8-aminopelargonate synthetase or related enzyme (BioF) (PDB:1BS0)" "H" "Coenzyme transport and metabolism"
"137" "COG2084" "3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase (MmsB) (PDB:1I36)" "I" "Lipid transport and metabolism"
"138" "COG3293" "Transposase" "X" "Mobilome: prophages, transposons"
"139" "COG0236" "Acyl carrier protein (AcpP) (PDB:1ACP)" "I" "Lipid transport and metabolism"
"140" "COG0465" "ATP-dependent Zn proteases (HflB) (PDB:1LV7)" "O" "Posttranslational modification, protein turnover, chaperones"
"141" "COG4992" "Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase (ArgD) (PDB:2E54)" "E" "Amino acid transport and metabolism"
"142" "COG1132" "ABC-type multidrug transport system, ATPase and permease component (MdlB) (PDB:2HYD)" "V" "Defense mechanisms"
"143" "COG0257" "Ribosomal protein L36 (RpmJ) (PDB:1DFE) (PUBMED:21627333)" "J" "Translation, ribosomal structure and biogenesis"
"144" "COG1995" "4-hydroxy-L-threonine phosphate dehydrogenase PdxA (PdxA) (PDB:1PS6)" "H" "Coenzyme transport and metabolism"
"145" "COG0516" "IMP dehydrogenase/GMP reductase (GuaB) (PDB:1B3O)" "F" "Nucleotide transport and metabolism"
"146" "COG3579" "Aminopeptidase C (PepC)" "E" "Amino acid transport and metabolism"
"147" "COG0602" "Organic radical activating enzyme NrdG/QueE (QueE) (PUBMED:14660578;17384645)" "H" "Coenzyme transport and metabolism"
"148" "COG0706" "Membrane protein insertase Oxa1/YidC/SpoIIIJ (YidC) (PDB:3WO6)" "M" "Cell wall/membrane/envelope biogenesis"
"149" "COG0751" "Glycyl-tRNA synthetase, beta subunit (GlyS)" "J" "Translation, ribosomal structure and biogenesis"
"150" "COG2863" "Cytochrome c553 (CytC553) (PDB:6Q2U)" "C" "Energy production and conversion"
"151" "COG3278" "Cbb3-type cytochrome oxidase, subunit 1 (CcoN) (PDB:3MK7)" "C" "Energy production and conversion"
"152" "COG1024" "Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)" "I" "Lipid transport and metabolism"
"153" "COG0445" "tRNA U34 5-carboxymethylaminomethyl modifying enzyme MnmG/GidA (MnmG) (PDB:2ZXH)" "J" "Translation, ribosomal structure and biogenesis"
"154" "COG0092" "Ribosomal protein S3 (RpsC) (PDB:1VS6)" "J" "Translation, ribosomal structure and biogenesis"
"155" "COG2304" "Secreted protein containing bacterial Ig-like domain and vWFA domain (YfbK)" "R" "General function prediction only"
"156" "COG0318" "O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)" "I" "Lipid transport and metabolism"
"157" "COG0733" "Na+-dependent transporter, SNF family (YocR) (PDB:2A65)" "R" "General function prediction only"
"158" "COG0772" "Peptodoglycan polymerase FtsW/RodA/SpoVE (FtsW) (PDB:6BAR) (PUBMED:30692671)" "D" "Cell cycle control, cell division, chromosome partitioning"
"159" "COG4206" "Outer membrane cobalamin receptor protein BtuB (BtuB) (PDB:1NQE)" "H" "Coenzyme transport and metabolism"
"160" "COG0527" "Aspartate kinase (MetL1) (PDB:2CDQ)" "E" "Amino acid transport and metabolism"
"161" "COG0457" "Tetratricopeptide (TPR) repeat (TPR) (PDB:3AS4)" "R" "General function prediction only"
"162" "COG1729" "Cell division protein CpoB, coordinates peptidoglycan biosynthesis and outer membrane constriction (CpoB) (PDB:2WZ7) (PUBMED:25951518)" "D" "Cell cycle control, cell division, chromosome partitioning"
"163" "COG2885" "Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins (OmpA) (PDB:1OAP)" "M" "Cell wall/membrane/envelope biogenesis"
"164" "COG2076" "Multidrug transporter EmrE and related cation transporters (EmrE) (PDB:2I68)" "V" "Defense mechanisms"
"165" "COG0702" "Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains (YbjT) (PDB:5L3Z)" "R" "General function prediction only"
"166" "COG0349" "Ribonuclease D (Rnd) (PDB:5C0Y) (PUBMED:18821773)" "J" "Translation, ribosomal structure and biogenesis"
"167" "COG1917" "Cupin domain protein related to quercetin dioxygenase (QdoI) (PDB:2H0V)" "R" "General function prediction only"
"168" "COG0277" "FAD/FMN-containing lactate dehydrogenase/glycolate oxidase (GlcD) (PDB:1AHU)" "C" "Energy production and conversion"
"169" "COG5598" "Trimethylamine:corrinoid methyltransferase (MttB2)" "H" "Coenzyme transport and metabolism"
"170" "COG0717" "dCTP deaminase (Dcd) (PDB:1XS1)" "F" "Nucleotide transport and metabolism"
"171" "COG2265" "tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family (TrmA) (PDB:1UWV)" "J" "Translation, ribosomal structure and biogenesis"
"172" "COG1946" "Acyl-CoA thioesterase (TesB) (PDB:1C8U)" "I" "Lipid transport and metabolism"
"173" "COG0579" "L-2-hydroxyglutarate oxidase LhgO (LhgO) (PDB:3DME)" "G" "Carbohydrate transport and metabolism"
"174" "COG0694" "Fe-S cluster biogenesis protein NfuA, 4Fe-4S-binding domain (NifU) (PDB:2Z51)" "O" "Posttranslational modification, protein turnover, chaperones"
"175" "COG0113" "Delta-aminolevulinic acid dehydratase, porphobilinogen synthase (HemB) (PDB:1I8J)" "H" "Coenzyme transport and metabolism"
"176" "COG3255" "Putative sterol carrier protein, contains SCP2 domain (SCP2)" "I" "Lipid transport and metabolism"
"177" "COG3321" "Acyl transferase domain in polyketide synthase (PKS) enzymes (PksD) (PDB:6IYO)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"178" "COG0404" "Glycine cleavage system protein T (aminomethyltransferase) (GcvT) (PDB:2GAH) (PUBMED:25433025;25505271)" "E" "Amino acid transport and metabolism"
"179" "COG0259" "Pyridoxine/pyridoxamine 5'-phosphate oxidase (PdxH) (PDB:1CI0)" "H" "Coenzyme transport and metabolism"
"180" "COG0623" "Enoyl-[acyl-carrier-protein] reductase FabI (FabI) (PDB:1C14)" "I" "Lipid transport and metabolism"
"181" "COG0082" "Chorismate synthase (AroC) (PDB:1Q1L)" "E" "Amino acid transport and metabolism"
"182" "COG1189" "Predicted rRNA methylase YqxC, contains S4 and FtsJ domains (YqxC) (PDB:3OPN)" "J" "Translation, ribosomal structure and biogenesis"
"183" "COG2931" "Ca2+-binding protein, RTX toxin-related (PDB:1AF0) (PUBMED:15135544)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"184" "COG0720" "6-pyruvoyl-tetrahydropterin synthase (QueD) (PDB:1B66) (PUBMED:14660578;17384645)" "H" "Coenzyme transport and metabolism"
"185" "COG0265" "Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain (DegQ) (PDB:2HGA) (PUBMED:29686141)" "O" "Posttranslational modification, protein turnover, chaperones"
"186" "COG2363" "Uncharacterized membrane protein YgdD, TMEM256/DUF423 family (YgdD)" "S" "Function unknown"
"187" "COG3773" "Cell wall hydrolase CwlJ, involved in spore germination (CwlJ) (PDB:4F55)" "D" "Cell cycle control, cell division, chromosome partitioning"
"188" "COG0438" "Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)" "M" "Cell wall/membrane/envelope biogenesis"
"189" "COG0077" "Prephenate dehydratase (PheA2) (PDB:1PHZ)" "E" "Amino acid transport and metabolism"
"190" "COG2010" "Cytochrome c, mono- and diheme variants (CccA) (PDB:1A2S)" "C" "Energy production and conversion"
"191" "COG0266" "Formamidopyrimidine-DNA glycosylase (Nei) (PDB:1EE8)" "L" "Replication, recombination and repair"
"192" "COG0668" "Small-conductance mechanosensitive channel (MscS) (PDB:2OAU)" "M" "Cell wall/membrane/envelope biogenesis"
"193" "COG0589" "Nucleotide-binding universal stress protein,  UspA family (UspA) (PDB:1JMV)" "T" "Signal transduction mechanisms"
"194" "COG2202" "PAS domain (PAS) (PDB:2MWG)" "T" "Signal transduction mechanisms"
"195" "COG1231" "Monoamine oxidase (YobN) (PDB:1B37)" "E" "Amino acid transport and metabolism"
"196" "COG0596" "2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold (MenH) (PDB:4MYS)" "H" "Coenzyme transport and metabolism"
"197" "COG0621" "tRNA A37 methylthiotransferase MiaB (MiaB) (PDB:4JC0) (PUBMED:17407324;20472640;20584901)" "J" "Translation, ribosomal structure and biogenesis"
"198" "COG4842" "Secreted virulence factor YukE/EsxA, WXG100 family (EsxA) (PDB:3GVM) (PUBMED:15657139;24798022;27600772)" "V" "Defense mechanisms"
"199" "COG0469" "Pyruvate kinase (PykF) (PDB:6QXL)" "G" "Carbohydrate transport and metabolism"
"200" "COG0595" "mRNA degradation ribonuclease J1/J2 (RnjA) (PDB:3T3N)" "J" "Translation, ribosomal structure and biogenesis"
"201" "COG2761" "Predicted dithiol-disulfide isomerase, DsbA/YjbH family (virulence, stress resistance) (FrnE) (PDB:6GHB)" "O" "Posttranslational modification, protein turnover, chaperones"
